Epoch 	 Time(sec) 	 Loss_train 	 Accuracy 	 Precision 	 Recall 	 Sensitivity 	 Specificity 	 MCC 	 F1-score 	 ROC_AUC 	 AUC 	 Q9 	 PPV 	 NPV 	 TP 	 FP 	 TN 	 FN
0	176.31493319999936	553.3752253027633	0.6721915285451197	0.6708373429539582	0.9803094219686225	0.9803094219686225	0.08799999976533333	0.15961523829378602	0.7965714281162448	0.7684238162212846	1.0	0.3549683268207242	0.6708373429539582	0.7021276446355821	697	342	33	14
1	352.14200939999864	487.0178590302821	0.7090239410681399	0.7283236985799726	0.8860759481208496	0.8860759481208496	0.37333333233777777	0.30635978528399843	0.7994923852795098	0.7923975621190811	1.0	0.5496169405807312	0.7283236985799726	0.6334841600294835	630	235	140	81
2	526.7165296999992	462.44874318805523	0.7191528545119705	0.7255555547493827	0.9184247525760552	0.9184247525760552	0.3413333324231111	0.3278247849475375	0.8106765978828823	0.8200318799812472	1.0	0.5306939705483702	0.7255555547493827	0.688172039310903	653	247	128	58
3	701.2977774999999	457.3945761952782	0.7255985267034991	0.7199148022152132	0.9507735570312609	0.9507735570312609	0.2986666658702222	0.34667734378189696	0.8193939388973369	0.8242400375058603	1.0	0.5028623495448447	0.7199148022152132	0.7619047567217364	676	263	112	35
4	875.5209973000001	402.8662562467507	0.7182320441988951	0.7133825071513357	0.9521800267901828	0.9521800267901828	0.27466666593422223	0.32485495866115205	0.8156626501110465	0.8542297233942804	1.0	0.48599844642542667	0.7133825071513357	0.7518248120304758	677	272	103	34
5	1048.8925251	383.41297888642293	0.7918968692449355	0.8519593601568078	0.8255977484872042	0.8255977484872042	0.7279999980586667	0.5465625689637152	0.8385714279724489	0.8643638068448195	1.0	0.7715266482413012	0.8519593601568078	0.687657428998344	587	102	273	124
6	1222.8013539000003	345.6003458319501	0.7937384898710865	0.877519378484466	0.7960618835498426	0.7960618835498426	0.7893333312284444	0.5667616456043475	0.8348082589713802	0.8706985466479137	1.0	0.7926703116664077	0.877519378484466	0.6712018125369573	566	79	296	145
7	1394.373118899999	359.3463954107574	0.8075506445672191	0.8735119034620359	0.8255977484872042	0.8255977484872042	0.7733333312711111	0.586330491198765	0.8488792473977734	0.8851233005157056	1.0	0.797770028549814	0.8735119034620359	0.7004830900954515	587	85	290	124
8	1568.230101699999	341.2369666918257	0.8195211786372008	0.823899370032831	0.9212376920938992	0.9212376920938992	0.6266666649955556	0.5882001512414818	0.8698539170850903	0.9007444913267697	1.0	0.7302025957126629	0.823899370032831	0.8075601346819239	655	140	235	56
9	1741.581119999999	319.34535535502323	0.8222836095764272	0.8407894725779086	0.8987341759511475	0.8987341759511475	0.6773333315271112	0.5975967409291073	0.8687967363230477	0.9019821847163619	1.0	0.7608676677631584	0.8407894725779086	0.7791411019044752	639	121	254	72
10	1917.8169108999991	306.82036388014717	0.8360957642725598	0.921011056996823	0.8199718694515163	0.8199718694515163	0.8666666643555556	0.6621061968084034	0.8675595231640182	0.9090295358649789	1.0	0.8415892914741571	0.921011056996823	0.7174392920144828	583	50	325	128
11	2091.9269483999997	297.25084098203934	0.8296500920810314	0.8312342558800576	0.9282700408885091	0.9282700408885091	0.6426666649528889	0.6122611805118122	0.8770764113773578	0.9201237693389591	1.0	0.7422866922741975	0.8312342558800576	0.8253424629269094	660	134	241	51
12	2267.8882995000004	271.49063639854967	0.8434622467771639	0.8880918208205283	0.8706047807727078	0.8706047807727078	0.791999997888	0.6570732852573675	0.8792613630118882	0.9248270042194093	1.0	0.8267846391886743	0.8880918208205283	0.7634961419961539	619	78	297	92
13	2442.8876	282.503091813796	0.8425414364640884	0.86388140045299	0.9015471154689914	0.9015471154689914	0.7306666647182223	0.6461498090450191	0.8823124563783121	0.929796530707923	1.0	0.7972274492599598	0.86388140045299	0.796511625591536	641	101	274	70
14	2616.2372706999995	247.42662236707247	0.8683241252302025	0.8827493249558634	0.9212376920938992	0.9212376920938992	0.767999997952	0.7044307094550739	0.9015829312446091	0.9393492733239569	1.0	0.8267552295989978	0.8827493249558634	0.8372092998918335	655	87	288	56
15	2797.8772554999996	250.21480591655472	0.8756906077348067	0.9173913030182734	0.8902953573976156	0.8902953573976156	0.8479999977386666	0.7293037289074377	0.9036402563143181	0.943771214252227	1.0	0.8674498051042956	0.9173913030182734	0.8030303010024488	633	57	318	78
16	2974.2350368999996	242.27143919763785	0.8692449355432781	0.8979020966462907	0.9029535852279134	0.9029535852279134	0.8053333311857778	0.7101002738483115	0.9004207567318226	0.9432948898265353	1.0	0.8461931121751474	0.8979020966462907	0.8140161703126249	642	73	302	69
17	3147.6304142999998	237.9157815363726	0.8830570902394107	0.8914209103332159	0.935302389683119	0.935302389683119	0.7839999979093334	0.737484786783273	0.9128345910001134	0.9460778246601032	1.0	0.8405607002484976	0.8914209103332159	0.8647058798096886	665	81	294	46
18	3323.9658087999996	226.56777283273453	0.856353591160221	0.8404907965147352	0.9634317848615587	0.9634317848615587	0.6533333315911111	0.677652100955268	0.8977719522295071	0.9431486169714018	1.0	0.7535096228682685	0.8404907965147352	0.9040590372543947	685	130	245	26
19	3500.6417906999995	232.66044315016916	0.8885819521178637	0.9030054632472603	0.9296765106474311	0.9296765106474311	0.8106666645048889	0.7509764911889503	0.9161469155120257	0.9533764650726675	1.0	0.8571845525128192	0.9030054632472603	0.8587570597210252	661	71	304	50
20	3675.0104407	194.438927735177	0.8858195211786372	0.9198855494708361	0.9043600549868354	0.9043600549868354	0.8506666643982222	0.7495812021842206	0.9120567369418037	0.9552817627754338	1.0	0.8746057352123587	0.9198855494708361	0.8242894035548077	643	56	319	68
21	3848.1272109	213.30345918423353	0.8812154696132597	0.8964577644462428	0.9254571013706652	0.9254571013706652	0.7973333312071111	0.7342491794497	0.9107266429683551	0.9550492264416315	1.0	0.8473068087310588	0.8964577644462428	0.8494318157686597	658	76	299	53
22	4026.3687061	192.8846060577041	0.8931860036832413	0.9184247525760552	0.9184247525760552	0.9184247525760552	0.8453333310791111	0.7637580872011251	0.9184247532219234	0.9591261134552274	1.0	0.8763547442088696	0.9184247525760552	0.8453333310791111	653	58	317	58
23	4200.303112199999	194.26723669573926	0.8922651933701657	0.9148044679960832	0.9212376920938992	0.9212376920938992	0.8373333311004445	0.7610081573263241	0.9180098101485564	0.960056258790436	1.0	0.8722033932628954	0.9148044679960832	0.8486486463550037	655	61	314	56
24	4370.4017274	182.8504162442314	0.9005524861878453	0.9135802456603838	0.936708859442041	0.936708859442041	0.8319999977813334	0.7780624370393836	0.9249999993576388	0.9634430379746836	1.0	0.8730555863648164	0.9135802456603838	0.8739495773838948	666	63	312	45
25	4541.1594014	192.95604795016578	0.8931860036832413	0.9080932772179791	0.9310829804063531	0.9310829804063531	0.8213333311431111	0.7615716451830475	0.9194444438059413	0.9622541022034692	1.0	0.8645907440627678	0.9080932772179791	0.8627450956225627	662	67	308	49
26	4711.1602231	193.21109276915644	0.8977900552486188	0.8886010351183924	0.9648382546204807	0.9648382546204807	0.7706666646115555	0.7713696437604673	0.9251517188636872	0.9674186591654946	1.0	0.8359418913608934	0.8886010351183924	0.9203821626739421	686	86	289	25
27	4877.281756099999	171.2834948521618	0.8922651933701657	0.9291907501023255	0.9043600549868354	0.9043600549868354	0.8693333310151111	0.7650999302381015	0.9166072694821045	0.9658509142053446	1.0	0.8854993960352184	0.9291907501023255	0.827411165412662	643	49	326	68
28	5047.305825899999	183.8914029427961	0.8977900552486188	0.9504504490233476	0.8902953573976156	0.8902953573976156	0.911999997568	0.7832906711811813	0.9193899775458314	0.9685475855602438	1.0	0.9005537624296966	0.9504504490233476	0.8142857123469388	633	33	342	78
29	5216.2158005	155.37589291665927	0.9005524861878453	0.9068825898692543	0.9451476779955729	0.9451476779955729	0.815999997824	0.7773215541136105	0.9256198340732645	0.9683450539146743	1.0	0.8642340670796893	0.9068825898692543	0.886956519168242	672	69	306	39
30	5384.0374486	169.20833216587974	0.9042357274401474	0.9392185225192207	0.9127988735403673	0.9127988735403673	0.887999997632	0.7914733879748239	0.9258202561156773	0.9692489451476792	1.0	0.8996305917325227	0.9392185225192207	0.8430379725492709	649	42	333	62
31	5554.364058399999	164.96439874073243	0.8950276243093923	0.9258202554553207	0.9127988735403673	0.9127988735403673	0.8613333310364445	0.7694425470602164	0.9192634554396151	0.969845288326301	1.0	0.8841715046364421	0.9258202554553207	0.8389610367819194	649	52	323	62
32	5722.5579609	155.85227493050763	0.9005524861878453	0.9313304707706288	0.9156118130582113	0.9156118130582113	0.8719999976746666	0.7819312783585423	0.9234042546642522	0.9699052977027661	1.0	0.8915902082882377	0.9313304707706288	0.8449612381267152	651	48	327	60
33	5887.6181244	157.62830953086325	0.8996316758747698	0.9337175779053061	0.9113924037814453	0.9113924037814453	0.8773333309937777	0.7808249441952704	0.922419928169096	0.9706891701828412	1.0	0.8929990257250454	0.9337175779053061	0.8392857121446793	648	46	329	63
34	6057.348880599999	142.97145467665868	0.8987108655616943	0.9386861300165166	0.9043600549868354	0.9043600549868354	0.887999997632	0.7806485121691152	0.9212034377355276	0.9706591654946085	1.0	0.8958582724388977	0.9386861300165166	0.8304239380787433	643	42	333	68
35	6226.6470312	178.4660469269221	0.9051565377532228	0.9075067011963717	0.9521800267901828	0.9521800267901828	0.815999997824	0.7875979439880431	0.9293067941459802	0.9709404594467886	1.0	0.8655701861384435	0.9075067011963717	0.8999999973529412	677	69	306	34
36	6397.142828299999	153.77215861841827	0.9125230202578268	0.9254143633626873	0.942334738477729	0.942334738477729	0.8559999977173334	0.8052150694174058	0.9337979087569351	0.9715930614158462	1.0	0.8903157207399874	0.9254143633626873	0.8867403290421538	670	54	321	41
