Protein1	Protein2	Interaction	Prediction
cyp_33C9_4	pdb2l3a	0	nan
A0A7I8WZ01_BURXY	pdb2kt8	0	0
BxCYP33C4_4	pdb2l0d	0	0.003
BxCYP33D3_3	pdb2lml	1	0.628
BxSapB1_2	pdb2lq3	1	0.509
BxPel1_2	pdb2luz	0	0.012
I4N4M3_9PSED	pdb2m1l	0	nan
A0A1I7RL37_BURXY	7mzw	1	0.597
SapB3_1	pdb6j4i	0	0.034
SapB3_4	pdb2kru	0	0.006
Bx_cpl_3_4	pdb2kzv	1	0.838
I4N0B6_9PSED	pdb2ma5	0	0.007
BxATG8_5	pdb6wlf	0	nan
I0QNA0_9GAMM	pdb7kix	0	0.024
I4N4Q3_9PSED	pdb3sdr	0	0.003
BxATG16_3	pdb2lf2	1	0.946
Bx_cpl_3_4	pdb5vso	1	0.857
Bx_tlp_1_2	pdb6xrg	0	0.152
BxATG8_3	pdb2l0c	0	0.002
BxATG9_2	2kcx	0	0.488
Bx_cpl_1_3	pdb2l7q	0	0.001
Bx_cpl_2_4	pdb7n99	0	0.257
BxATG1_3	pdb3sdr	0	0.098
BxPel1_1	pdb2lx7	0	0
BxSapB1_4	pdb7qcb	0	0.149
A0A1I7SCA3_BURXY	pdb2lak	0	0
BxATG1_5	2kl7	0	0.305
A0A1I7RL98_BURXY	pdb2lch	0	0
SapB3_5	pdb4lej	0	0.292
I0QT18_9GAMM	pdb6xr6	0	0.029
BxCYP33C9_5	pdb2nbn	0	0.056
BxATG8_3	pdb2l0a	0	0.002
I4MYK4_9PSED	pdb6pqe	0	0.057
Bx_Prx_2	pdb1u0u	0	nan
BxATG16_5	pdb2luz	0	0
BxCYP33D3_2	pdb4lej	0	0
BxSapB1_2	pdb2n75	0	0.49
SapB3_4	pdb2ma5	0	0.002
A0A1I7S5S3_BURXY	pdb3sdv	0	0.004
BxCYP33C4_1	pdb6amv	0	0.195
BxCYP33C4_1	pdb2l82	0	0.158
A0A1I7RJ71_BURXY	pdb2l0a	0	0
Bx_cpl_1_2	pdb2kzx	0	0.015
BxATG1_1	pdb2kif	0	0.005
BxCYP33C4_1	pdb2mbm	0	0.111
